text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,target,cleaned_text
jerkoff jerking off,jerk off,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,jerkoff jerking
jerkoffs,jerk off,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,jerkoffs
jerks off,jerk off,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,jerk
jewboy,jew,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,jewboy
jigaboo,jiggaboo,,,racial / ethnic slurs,none,none,2.4,Strong,racial / ethnic slurs_Strong,jigaboo
jigaboos,jiggaboo,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,jigaboo
jigga,jiggaboo,nigger,,racial / ethnic slurs,none,none,2.4,Strong,racial / ethnic slurs_Strong,jigga
jiggaboo,jiggaboo,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,jiggaboo
jiggabooboo,jiggaboo,,,racial / ethnic slurs,none,none,2.4,Strong,racial / ethnic slurs_Strong,jiggabooboo
jiggaboos,jiggaboo,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,jiggaboos
jiggabu,jiggaboo,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,jiggabu
jiggas,jiggaboo,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,jiggas
jigger,jiggaboo,nigger,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,jigger
jiggerboo,jiggaboo,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,jiggerboo
jiggerboos,jiggaboo,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,jiggerboos
jiggs,jiggaboo,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,jiggs
jiggyboo,jiggaboo,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,jiggyboo
jigro,jiggaboo,nigger,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,jigro
jim crow,jim crow,,,racial / ethnic slurs,other / general insult,none,1.4,Mild,racial / ethnic slurs_Mild,jim crow
jizz,jizz,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,jizz
jizz eater,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,none,2.4,Strong,sexual anatomy / sexual acts_Strong,jizz eater
jizz licker,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,none,2.4,Strong,sexual anatomy / sexual acts_Strong,jizz licker
jizz-jockey,jizz,,,bodily fluids / excrement,none,none,2.2,Strong,bodily fluids / excrement_Strong,jizzjockey
jizzbags,jizz,,,bodily fluids / excrement,none,none,2.4,Strong,bodily fluids / excrement_Strong,jizzbags
jizzed,jizz,,,bodily fluids / excrement,none,none,2.0,Strong,bodily fluids / excrement_Strong,jizzed
jizzes,jizz,,,bodily fluids / excrement,none,none,2.2,Strong,bodily fluids / excrement_Strong,jizzes
jizzfucker,fuck,jizz,,bodily fluids / excrement,sexual anatomy / sexual acts,none,2.6,Severe,bodily fluids / excrement_Severe,jizzfucker
jizzing,jizz,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,jizzing
jizzsacks,jizz,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,jizzsacks
jizzstain,jizz,,,bodily fluids / excrement,none,none,2.8,Severe,bodily fluids / excrement_Severe,jizzstain
jizzy,jizz,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,jizzy
k!k3,kike,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,kk
k!ke,kike,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,kke
k..!ke,kike,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,kke
k1k3,kike,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,kk
k1ke,kike,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,kke
kid diddler,diddle,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,kid diddler
kiddy touch,kidtoucher,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,kiddy touch
kike,kike,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,kike
kikes,kike,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,kike
kiss ass,ass,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,kiss as
kiss my ass,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,kiss as
kitty puncher,kitty puncher,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,kitty puncher
kkk,kkk,,,other / general insult,none,none,1.8,Strong,other / general insult_Strong,kkk
klan,klan,,,racial / ethnic slurs,none,none,1.8,Strong,racial / ethnic slurs_Strong,klan
klitoris,clit,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,klitoris
kneegrows,negro,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,kneegrows
knickers,nigger,,,racial / ethnic slurs,none,none,1.8,Strong,racial / ethnic slurs_Strong,knickers
knob,knob,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,knob
knob eater,knob,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,knob eater
knob gobbler,knob,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,knob gobbler
knob jockey,knob,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,knob jockey
knob-face,knob,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,knobface
knob-gobbler,knob,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,knobgobbler
knob-head,knob,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,knobhead
knob3d,knob,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,knobd
knob3nd,knob,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,knobnd
knobd,knob,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,knobd
knobe,knob,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,knobe
knobead,knob,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,knobead
knobeads,knob,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,knobeads
knobed,knob,,,sexual anatomy / sexual acts,other / general insult,none,1.4,Mild,sexual anatomy / sexual acts_Mild,knobed
knobeds,knob,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,knobeds
knobend,knob,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,knobend
knobender,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,knobender
knobends,knob,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,knobends
knobendy,knob,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,knobendy
knobendz,knob,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,knobendz
knober,knob,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,knober
knobes,knob,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,knobes
knobgobbler,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong,sexual anatomy / sexual acts_Strong,knobgobbler
knobhead,knob,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,knobhead
knobheads,knob,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,knobheads
knobjockies,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong,sexual anatomy / sexual acts_Strong,knobjockies
knobjocky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,knobjocky
knobjokey,knob,,,sexual orientation / gender,none,none,2.6,Severe,sexual orientation / gender_Severe,knobjokey
knobjokeys,knob,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,knobjokeys
ku kluxer,ku kluxer,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,ku kluxer
kyke,kike,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,kyke
l@dyb0i,ladyboy,,,sexual orientation / gender,none,none,2.2,Strong,sexual orientation / gender_Strong,ldybi
l@dyb0y,ladyboy,,,sexual orientation / gender,none,none,2.0,Strong,sexual orientation / gender_Strong,ldyby
l@dyboy,ladyboy,,,sexual orientation / gender,none,none,2.0,Strong,sexual orientation / gender_Strong,ldyboy
l3i + ch,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,li ch
l3i+ch,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,lich
l3itch,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,litch
l3itches,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,litches
ladboys,ladyboy,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,ladboys
ladboyz,ladyboy,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,ladboyz
ladiboy,ladyboy,,,sexual orientation / gender,none,none,2.2,Strong,sexual orientation / gender_Strong,ladiboy
lady-boy,ladyboy,,,sexual orientation / gender,none,none,2.6,Severe,sexual orientation / gender_Severe,ladyboy
ladyb0i,ladyboy,,,sexual orientation / gender,none,none,2.2,Strong,sexual orientation / gender_Strong,ladybi
ladyb0y,ladyboy,,,sexual orientation / gender,none,none,2.4,Strong,sexual orientation / gender_Strong,ladyby
ladyboy,ladyboy,,,sexual orientation / gender,none,none,2.2,Strong,sexual orientation / gender_Strong,ladyboy
ladyboys,ladyboy,,,sexual orientation / gender,none,none,2.4,Strong,sexual orientation / gender_Strong,ladyboys
ladyboyz,ladyboy,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,ladyboyz
lesbo,lesbian,,,sexual orientation / gender,none,none,2.2,Strong,sexual orientation / gender_Strong,lesbo
loose woman,loose,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,loose woman
m@asterbated,masturbate,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,masterbated
m@derfaker,motherfucker,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mderfaker
m@derfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mderfuck
m@derfuckers,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mderfuckers
m0f0,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,mf
m0f0s,motherfucker,,,other / general insult,none,none,2.4,Strong,other / general insult_Strong,mf
m0fo,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mfo
m0foes,motherfucker,,,other / general insult,none,none,2.2,Strong,other / general insult_Strong,mfoes
m0fos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mfos
m0ng0l0id,mongoloid,,,mental disability,racial / ethnic slurs,none,2.2,Strong,mental disability_Strong,mnglid
m0ngoloid,mongoloid,,,racial / ethnic slurs,none,none,2.2,Strong,racial / ethnic slurs_Strong,mngoloid
m0thafucked,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mthafucked
m0thafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mthafucker
m0thafucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mthafucking
m0therfuckeds,motherfucker,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mtherfuckeds
m0therfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,mtherfucker
m0therfucking,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mtherfucking
m0therfvcker,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mtherfvcker
man chowder,man chowder,,,bodily fluids / excrement,none,none,1.0,Mild,bodily fluids / excrement_Mild,man chowder
man meat,meat,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,man meat
man seed,man seed,,,bodily fluids / excrement,none,none,1.0,Mild,bodily fluids / excrement_Mild,man seed
markasses,ass,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,markasses
meat curtains,meat curtains,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,meat curtain
meat-sword,meat,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,meatsword
mecha fag,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,mecha fag
mega fag,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,mega fag
mf'er,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mfer
mf'ers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mfers
mf'ing,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mfing
mfckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mfckers
MFer,motherfucker,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,mfer
MFers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mfers
mfing,motherfucker,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,mfing
mfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,1.6,Strong,sexual anatomy / sexual acts_Strong,mfk
mfs,motherfucker,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mf
mfukk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mfukk
mfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mfukker
milf,milf,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,milf
mindfuck,motherfucker,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mindfuck
mof0es,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mofes
mof0s,motherfucker,,,other / general insult,none,none,2.6,Severe,other / general insult_Severe,mofs
mofcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mofcker
mofo,motherfucker,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,mofo
mofo ass,motherfucker,ass,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,mofo as
mofoes,motherfucker,,,other / general insult,none,none,2.0,Strong,other / general insult_Strong,mofoes
mofos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,mofos
mofoshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mofoshit
mofuccers,motherfucker,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,mofuccers
mofucckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,mofucckers
mofuck,motherfucker,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mofuck
mofucker,motherfucker,,,other / general insult,none,none,2.0,Strong,other / general insult_Strong,mofucker
mofuckkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,mofuckkas
mofuk,motherfucker,,,other / general insult,none,none,2.2,Strong,other / general insult_Strong,mofuk
mofukkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,mofukkas
molester,molest,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,molester
mong,mong,,,racial / ethnic slurs,none,none,1.8,Strong,racial / ethnic slurs_Strong,mong
mongoloid,mongoloid,,,racial / ethnic slurs,none,none,2.2,Strong,racial / ethnic slurs_Strong,mongoloid
mongrel,mongrel,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,mongrel
motha fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motha fucka
motha fucker,motherfucker,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,motha fucker
motha fuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motha fucker
mothaf@cked,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafcked
mothafcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafcked
mothafcking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafcking
Mothafucc,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafucc
mothafucced,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafucced
mothafuccer,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mothafuccer
mothafuccing,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mothafuccing
mothafuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafuck
mothafucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafucka
mothafuckas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafuckas
mothafuckasses,motherfucker,ass,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mothafuckasses
mothafuckaz,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafuckaz
mothafuckazzes,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mothafuckazzes
mothafucked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafucked
mothafuckeds,motherfucker,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafuckeds
mothafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mothafucker
mothafuckers,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafuckers
mothafuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafuckin
mothafucking,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mothafucking
mothafuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafuckings
mothafuckins,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafuckins
mothafucks,motherfucker,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafucks
mothafuckz,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mothafuckz
mothafvcked,motherfucker,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mothafvcked
mother effer,motherfucker,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mother effer
mother fuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mother fuck
mother fuck you,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,mother fuck
mother fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,mother fucka
mother fucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mother fucker
mother fuckers,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mother fucker
mother fucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,mother fucking
mothercker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,mothercker
motherf@kka,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,motherfkka
motherfacking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,motherfacking
motherfcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfcked
motherfckin,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfckin
motherfcking,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfcking
motherfcks,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfcks
motherfckshit,motherfucker,shit,,sexual anatomy / sexual acts,other / general insult,bodily fluids / excrement,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfckshit
motherfecka,motherfucker,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,motherfecka
motherfecker,motherfucker,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfecker
motherfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfk
motherfucca,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,motherfucca
motherfuccas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfuccas
motherfuccers,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfuccers
motherfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,motherfuck
motherfucked,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfucked
motherfuckeds,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfuckeds
motherfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfucker
motherfuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfucker
motherfuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,motherfuckin
motherfucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfucking
motherfuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfuckings
motherfuckingshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfuckingshit
motherfuckins,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfuckins
motherfuckka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfuckka
motherfuckkas,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfuckkas
motherfuckkers,motherfucker,,,sexual anatomy / sexual acts,none,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfuckkers
motherfucks,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfucks
motherfukka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfukka
motherfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfukker
motherfukkings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,motherfukkings
motherfvck,motherfucker,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,motherfvck
motherfvcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,motherfvcked
motherfvckeds,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,motherfvckeds
motherfvcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,3.0,Severe,sexual anatomy / sexual acts_Severe,motherfvcker
motherfvckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,motherfvckers
