text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,processed_text
fugger,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fugger
fuggerz,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe,fuggerz
fuggings,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fuggings
fuk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fuk
fuk1n,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fuk1n
fuk1ng,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuk1ng
fukcs,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukcs
fuker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuker
fukheads,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukheads
fukin,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fukin
fuking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fuking
fukk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukk
fukka,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fukka
fukked,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukked
fukker,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukker
fukkers,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukkers
fukking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukking
fukkings,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fukkings
fukkuh,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fukkuh
fuks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuks
fuku,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,fuku
fukwhore,fuck,whore,,sexual anatomy / sexual acts,,,2.8,Severe,fukwhore
fukwit,fuck,,,sexual anatomy / sexual acts,mental disability,,2.2,Strong,fukwit
full of shit,shit,,,bodily fluids / excrement,,,1.0,Mild,full shit
funbags,funbags,,,sexual anatomy / sexual acts,,,1.0,Mild,funbags
fuq,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fuq
futhamucka,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,futhamucka
fux,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fux
fux0r,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fux0r
fvck,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong,fvck
fvck you,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fvck
fvcka,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fvcka
fvckbunny,fuck,,,sexual anatomy / sexual acts,animal references,,2.2,Strong,fvckbunny
fvcker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fvcker
fvckers,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fvckers
fvckin,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fvckin
fvcking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fvcking
fvckker bunny,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fvckker bunny
fvckwhi,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fvckwhi
fxck,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong,fxck
fxcked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fxcked
fxcker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fxcker
fxcking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fxcking
g@y b1tch,bitch,gay,,sexual orientation / gender,,,2.6,Severe,gy b1tch
g@ylord,gay,,,sexual orientation / gender,,,1.8,Strong,gylord
g@yshit,shit,gay,,sexual orientation / gender,,,2.6,Severe,gyshit
g0ddamn,damn,,,religious offense,,,1.2,Mild,g0ddamn
g0ddamned,damn,,,religious offense,,,1.6,Strong,g0ddamned
g0ddamnit,damn,,,religious offense,,,1.0,Mild,g0ddamnit
gash-stabber,gash-stabber,,,sexual anatomy / sexual acts,,,2.0,Strong,gashstabber
gay ass,gay,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,gay as
gay bitch,gay,bitch,,sexual orientation / gender,,,2.6,Severe,gay bitch
gay fuck,fuck,gay,,sexual orientation / gender,other / general insult,,2.6,Severe,gay fuck
gay fucker,fuck,gay,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,gay fucker
gay shit,gay,shit,,bodily fluids / excrement,sexual orientation / gender,,1.8,Strong,gay shit
gay wad,gay,,,sexual orientation / gender,,,2.0,Strong,gay wad
gayest,gay,,,sexual orientation / gender,,,1.0,Mild,gayest
gaylord,gay,,,sexual orientation / gender,,,1.6,Strong,gaylord
gaylords,gay,,,sexual orientation / gender,,,2.2,Strong,gaylords
gayness,gay,,,sexual orientation / gender,,,1.4,Mild,gayness
gaysian,gay,,,sexual orientation / gender,,,2.6,Severe,gaysian
gaytard,gay,retard,,sexual orientation / gender,mental disability,,2.8,Severe,gaytard
geebag,garbage bag,,,sexual orientation / gender,,,1.8,Strong,geebag
get fucked,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,get fucked
gin jockey,gin jockey,,,sexual anatomy / sexual acts,,,2.0,Strong,gin jockey
girlieboy,girlyboy,,,sexual orientation / gender,,,1.4,Mild,girlieboy
girly bits,girly bits,,,sexual anatomy / sexual acts,,,1.0,Mild,girly bit
girlyboy,girlyboy,,,sexual orientation / gender,,,1.4,Mild,girlyboy
go fuck yourself,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,go fuck
go to hell,hell,,,other / general insult,religious offense,,1.0,Mild,go hell
gobshite,shit,,,bodily fluids / excrement,,,1.8,Strong,gobshite
god dammit,damn,,,religious offense,,,1.6,Strong,god dammit
god damn,damn,,,religious offense,,,1.4,Mild,god damn
god damn it,damn,,,religious offense,,,1.8,Strong,god damn
god damned,damn,,,religious offense,,,1.2,Mild,god damned
god damnit,damn,,,religious offense,,,2.2,Strong,god damnit
god-dam,damn,,,religious offense,,,1.2,Mild,goddam
god-damned,damn,,,religious offense,,,1.4,Mild,goddamned
godamnit,damn,,,religious offense,,,2.0,Strong,godamnit
godd@amn,damn,,,religious offense,,,1.4,Mild,goddamn
godd@mnit,damn,,,religious offense,,,1.4,Mild,goddmnit
goddammit,damn,,,religious offense,,,1.0,Mild,goddammit
goddamn,damn,,,religious offense,,,1.6,Strong,goddamn
goddamn mothafuckers,motherfucker,damn,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,goddamn mothafuckers
goddamn son of a bitch,damn,bitch,,religious offense,sexual orientation / gender,,2.2,Strong,goddamn son bitch
goddamn son-of-a-bitch,damn,bitch,,religious offense,sexual orientation / gender,,1.4,Mild,goddamn sonofabitch
goddamned,damn,,,religious offense,,,1.8,Strong,goddamned
goddamnit,damn,,,religious offense,,,1.6,Strong,goddamnit
gook,gook,,,racial / ethnic slurs,,,2.8,Severe,gook
gowl,gowl,,,other / general insult,,,1.6,Strong,gowl
greaser,greaser,,,racial / ethnic slurs,,,1.0,Mild,greaser
groid,groid,,,racial / ethnic slurs,,,2.0,Strong,groid
groper,grope,,,sexual anatomy / sexual acts,,,1.4,Mild,groper
gyp,gypsy,,,racial / ethnic slurs,,,2.0,Strong,gyp
harry palms,harry palms,,,sexual anatomy / sexual acts,,,1.6,Strong,harry palm
heeb,hebe,,,racial / ethnic slurs,,,2.2,Strong,heeb
higg@,nigger,,,racial / ethnic slurs,,,2.6,Severe,higg
higg3r,nigger,,,racial / ethnic slurs,,,2.8,Severe,higg3r
higga,nigger,,,racial / ethnic slurs,,,2.8,Severe,higga
higger,nigger,,,racial / ethnic slurs,,,2.6,Severe,higger
higgers,nigger,,,racial / ethnic slurs,,,3.0,Severe,higgers
hoar,whore,,,sexual orientation / gender,,,1.8,Strong,hoar
hoe,hoe,,,sexual orientation / gender,,,2.0,Strong,hoe
hoe-asses,hoe,ass,,sexual orientation / gender,sexual anatomy / sexual acts,,2.2,Strong,hoeasses
hoebag,hoe,,,sexual orientation / gender,,,2.0,Strong,hoebag
hoes,hoe,,,sexual orientation / gender,,,2.0,Strong,hoe
holy fuck,fuck,,,sexual anatomy / sexual acts,other / general insult,religious offense,2.0,Strong,holy fuck
homo,homosexual,,,sexual orientation / gender,,,2.2,Strong,homo
homo asses,homosexual,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,homo ass
homos,homosexual,,,sexual orientation / gender,,,2.2,Strong,homo
hooters,hooters,,,sexual anatomy / sexual acts,,,1.0,Mild,hooter
horse shit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild,horse shit
horse's asses,ass,,,sexual anatomy / sexual acts,animal references,,1.4,Mild,horse ass
horseshit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild,horseshit
hustler,hustler,,,other / general insult,,,1.0,Mild,hustler
injun,injun,,,racial / ethnic slurs,,,2.4,Strong,injun
j-offs,jerk off,,,sexual anatomy / sexual acts,,,1.4,Mild,joffs
j3rk,jerk,,,other / general insult,,,1.0,Mild,j3rk
ja!lbait,jailbait,,,sexual anatomy / sexual acts,other / general insult,,1.0,Mild,jalbait
Jack off,jackoff,,,sexual anatomy / sexual acts,,,1.4,Mild,jack
jack-off,jack off,,,sexual anatomy / sexual acts,,,1.2,Mild,jackoff
jack-offs,jack off,,,sexual anatomy / sexual acts,,,1.4,Mild,jackoffs
jackarse,arse,,,sexual anatomy / sexual acts,,,1.0,Mild,jackarse
jackass,ass,,,animal references,other / general insult,,1.0,Mild,jackass
jackasses,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,jackass
jackasss,ass,,,animal references,,,1.2,Mild,jackass
jackoff,jack off,,,sexual anatomy / sexual acts,,,2.0,Strong,jackoff
jackoffs,jack off,,,sexual anatomy / sexual acts,,,1.2,Mild,jackoffs
jackoffz,jack off,,,sexual anatomy / sexual acts,,,1.6,Strong,jackoffz
jagoff,jack off,,,sexual anatomy / sexual acts,,,1.0,Mild,jagoff
jailbait,jailbait,,,sexual anatomy / sexual acts,,,1.0,Mild,jailbait
jap,jap,,,racial / ethnic slurs,,,2.8,Severe,jap
jerk off,jerk off,,,sexual anatomy / sexual acts,,,1.0,Mild,jerk
jerk-0ff,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild,jerk0ff
jerk-0ffs,jerk off,,,sexual anatomy / sexual acts,,,1.4,Mild,jerk0ffs
jerk-off,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild,jerkoff
jerk-offs,jerk off,,,sexual anatomy / sexual acts,,,1.0,Mild,jerkoffs
jerking off,jerk off,,,sexual anatomy / sexual acts,,,1.0,Mild,jerking
jerkoff,jerk off,,,sexual anatomy / sexual acts,,,1.6,Strong,jerkoff
jerkoff jerking off,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild,jerkoff jerking
jerkoffs,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild,jerkoffs
jerks off,jerk off,,,sexual anatomy / sexual acts,,,1.4,Mild,jerk
jewboy,jew,,,racial / ethnic slurs,,,2.8,Severe,jewboy
jigaboo,jiggaboo,,,racial / ethnic slurs,,,2.4,Strong,jigaboo
jigaboos,jiggaboo,,,racial / ethnic slurs,,,2.8,Severe,jigaboo
jigga,jiggaboo,nigger,,racial / ethnic slurs,,,2.4,Strong,jigga
jiggaboo,jiggaboo,,,racial / ethnic slurs,,,3.0,Severe,jiggaboo
jiggabooboo,jiggaboo,,,racial / ethnic slurs,,,2.4,Strong,jiggabooboo
jiggaboos,jiggaboo,,,racial / ethnic slurs,,,3.0,Severe,jiggaboos
jiggabu,jiggaboo,,,racial / ethnic slurs,,,3.0,Severe,jiggabu
jiggas,jiggaboo,,,racial / ethnic slurs,,,2.8,Severe,jiggas
jigger,jiggaboo,nigger,,racial / ethnic slurs,,,3.0,Severe,jigger
jiggerboo,jiggaboo,,,racial / ethnic slurs,,,2.6,Severe,jiggerboo
jiggerboos,jiggaboo,,,racial / ethnic slurs,,,3.0,Severe,jiggerboos
jiggs,jiggaboo,,,racial / ethnic slurs,,,2.6,Severe,jiggs
jiggyboo,jiggaboo,,,racial / ethnic slurs,,,3.0,Severe,jiggyboo
jigro,jiggaboo,nigger,,racial / ethnic slurs,,,2.8,Severe,jigro
jim crow,jim crow,,,racial / ethnic slurs,other / general insult,,1.4,Mild,jim crow
jizz,jizz,,,bodily fluids / excrement,,,1.6,Strong,jizz
jizz eater,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong,jizz eater
jizz licker,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong,jizz licker
jizz-jockey,jizz,,,bodily fluids / excrement,,,2.2,Strong,jizzjockey
jizzbags,jizz,,,bodily fluids / excrement,,,2.4,Strong,jizzbags
jizzed,jizz,,,bodily fluids / excrement,,,2.0,Strong,jizzed
jizzes,jizz,,,bodily fluids / excrement,,,2.2,Strong,jizzes
jizzfucker,fuck,jizz,,bodily fluids / excrement,sexual anatomy / sexual acts,,2.6,Severe,jizzfucker
jizzing,jizz,,,bodily fluids / excrement,,,1.6,Strong,jizzing
jizzsacks,jizz,,,sexual anatomy / sexual acts,,,1.8,Strong,jizzsacks
jizzstain,jizz,,,bodily fluids / excrement,,,2.8,Severe,jizzstain
jizzy,jizz,,,bodily fluids / excrement,,,1.6,Strong,jizzy
k!k3,kike,,,racial / ethnic slurs,,,2.6,Severe,kk3
k!ke,kike,,,racial / ethnic slurs,,,3.0,Severe,kke
k..!ke,kike,,,racial / ethnic slurs,,,3.0,Severe,kke
k1k3,kike,,,racial / ethnic slurs,,,3.0,Severe,k1k3
k1ke,kike,,,racial / ethnic slurs,,,2.8,Severe,k1ke
kid diddler,diddle,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,kid diddler
kiddy touch,kidtoucher,,,sexual anatomy / sexual acts,,,1.8,Strong,kiddy touch
kike,kike,,,racial / ethnic slurs,,,3.0,Severe,kike
kikes,kike,,,racial / ethnic slurs,,,3.0,Severe,kike
kiss ass,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,kiss as
kiss my ass,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,kiss as
kitty puncher,kitty puncher,,,sexual anatomy / sexual acts,,,2.2,Strong,kitty puncher
kkk,kkk,,,other / general insult,,,1.8,Strong,kkk
klan,klan,,,racial / ethnic slurs,,,1.8,Strong,klan
klitoris,clit,,,sexual anatomy / sexual acts,,,1.0,Mild,klitoris
kneegrows,negro,,,racial / ethnic slurs,,,2.8,Severe,kneegrows
knickers,nigger,,,racial / ethnic slurs,,,1.8,Strong,knickers
knob,knob,,,sexual anatomy / sexual acts,,,1.4,Mild,knob
knob eater,knob,,,sexual anatomy / sexual acts,,,2.2,Strong,knob eater
knob gobbler,knob,,,sexual anatomy / sexual acts,,,1.8,Strong,knob gobbler
knob jockey,knob,,,sexual anatomy / sexual acts,,,1.8,Strong,knob jockey
knob-face,knob,,,sexual anatomy / sexual acts,,,1.6,Strong,knobface
knob-gobbler,knob,,,sexual anatomy / sexual acts,,,1.6,Strong,knobgobbler
knob-head,knob,,,sexual anatomy / sexual acts,,,2.0,Strong,knobhead
knob3d,knob,,,sexual anatomy / sexual acts,,,1.6,Strong,knob3d
knob3nd,knob,,,sexual anatomy / sexual acts,,,1.2,Mild,knob3nd
knobd,knob,,,sexual anatomy / sexual acts,,,1.2,Mild,knobd
knobe,knob,,,sexual anatomy / sexual acts,,,1.0,Mild,knobe
knobead,knob,,,sexual anatomy / sexual acts,,,1.4,Mild,knobead
knobeads,knob,,,sexual anatomy / sexual acts,,,1.4,Mild,knobeads
knobed,knob,,,sexual anatomy / sexual acts,other / general insult,,1.4,Mild,knobed
knobeds,knob,,,sexual anatomy / sexual acts,,,1.8,Strong,knobeds
knobend,knob,,,sexual anatomy / sexual acts,,,1.2,Mild,knobend
knobender,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,knobender
knobends,knob,,,sexual anatomy / sexual acts,,,1.4,Mild,knobends
knobendy,knob,,,sexual anatomy / sexual acts,,,1.6,Strong,knobendy
knobendz,knob,,,sexual anatomy / sexual acts,,,1.4,Mild,knobendz
knober,knob,,,sexual anatomy / sexual acts,,,1.0,Mild,knober
knobes,knob,,,sexual anatomy / sexual acts,,,1.2,Mild,knobes
knobgobbler,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong,knobgobbler
knobhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong,knobhead
knobheads,knob,,,sexual anatomy / sexual acts,,,1.6,Strong,knobheads
knobjockies,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong,knobjockies
knobjocky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,knobjocky
knobjokey,knob,,,sexual orientation / gender,,,2.6,Severe,knobjokey
knobjokeys,knob,,,sexual anatomy / sexual acts,,,1.8,Strong,knobjokeys
ku kluxer,ku kluxer,,,racial / ethnic slurs,,,2.6,Severe,ku kluxer
kyke,kike,,,racial / ethnic slurs,,,3.0,Severe,kyke
l@dyb0i,ladyboy,,,sexual orientation / gender,,,2.2,Strong,ldyb0i
l@dyb0y,ladyboy,,,sexual orientation / gender,,,2.0,Strong,ldyb0y
l@dyboy,ladyboy,,,sexual orientation / gender,,,2.0,Strong,ldyboy
l3i + ch,bitch,,,sexual orientation / gender,,,1.2,Mild,l3i ch
l3i+ch,bitch,,,sexual orientation / gender,,,1.2,Mild,l3ich
l3itch,bitch,,,sexual orientation / gender,,,1.4,Mild,l3itch
l3itches,bitch,,,sexual orientation / gender,,,1.2,Mild,l3itches
ladboys,ladyboy,,,sexual orientation / gender,,,1.4,Mild,ladboys
ladboyz,ladyboy,,,sexual orientation / gender,,,1.4,Mild,ladboyz
ladiboy,ladyboy,,,sexual orientation / gender,,,2.2,Strong,ladiboy
lady-boy,ladyboy,,,sexual orientation / gender,,,2.6,Severe,ladyboy
ladyb0i,ladyboy,,,sexual orientation / gender,,,2.2,Strong,ladyb0i
ladyb0y,ladyboy,,,sexual orientation / gender,,,2.4,Strong,ladyb0y
ladyboy,ladyboy,,,sexual orientation / gender,,,2.2,Strong,ladyboy
ladyboys,ladyboy,,,sexual orientation / gender,,,2.4,Strong,ladyboys
ladyboyz,ladyboy,,,sexual orientation / gender,,,1.4,Mild,ladyboyz
lesbo,lesbian,,,sexual orientation / gender,,,2.2,Strong,lesbo
loose woman,loose,,,sexual orientation / gender,,,1.4,Mild,loose woman
m@asterbated,masturbate,,,sexual anatomy / sexual acts,,,1.4,Mild,masterbated
m@derfaker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe,mderfaker
m@derfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,mderfuck
m@derfuckers,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,mderfuckers
m0f0,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,m0f0
m0f0s,motherfucker,,,other / general insult,,,2.4,Strong,m0f0s
m0fo,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,m0fo
m0foes,motherfucker,,,other / general insult,,,2.2,Strong,m0foes
m0fos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,m0fos
m0ng0l0id,mongoloid,,,mental disability,racial / ethnic slurs,,2.2,Strong,m0ng0l0id
m0ngoloid,mongoloid,,,racial / ethnic slurs,,,2.2,Strong,m0ngoloid
m0thafucked,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,m0thafucked
m0thafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,m0thafucker
m0thafucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,m0thafucking
m0therfuckeds,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe,m0therfuckeds
m0therfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,m0therfucker
m0therfucking,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,m0therfucking
m0therfvcker,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,m0therfvcker
man chowder,man chowder,,,bodily fluids / excrement,,,1.0,Mild,man chowder
man meat,meat,,,sexual anatomy / sexual acts,,,1.2,Mild,man meat
man seed,man seed,,,bodily fluids / excrement,,,1.0,Mild,man seed
markasses,ass,,,sexual anatomy / sexual acts,,,2.0,Strong,markasses
meat curtains,meat curtains,,,sexual anatomy / sexual acts,,,2.0,Strong,meat curtain
meat-sword,meat,,,sexual anatomy / sexual acts,,,1.2,Mild,meatsword
mecha fag,faggot,,,sexual orientation / gender,,,3.0,Severe,mecha fag
mega fag,faggot,,,sexual orientation / gender,,,2.8,Severe,mega fag
mf'er,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,mfer
mf'ers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,mfers
mf'ing,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,mfing
mfckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,mfckers
MFer,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong,mfer
MFers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mfers
mfing,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong,mfing
mfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong,mfk
mfs,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong,mf
mfukk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,mfukk
mfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mfukker
milf,milf,,,sexual anatomy / sexual acts,,,1.8,Strong,milf
mindfuck,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong,mindfuck
mof0es,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,mof0es
mof0s,motherfucker,,,other / general insult,,,2.6,Severe,mof0s
mofcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,mofcker
mofo,motherfucker,,,sexual anatomy / sexual acts,,,2.0,Strong,mofo
mofo ass,motherfucker,ass,,sexual anatomy / sexual acts,,,2.4,Strong,mofo as
mofoes,motherfucker,,,other / general insult,,,2.0,Strong,mofoes
mofos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,mofos
mofoshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong,mofoshit
mofuccers,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong,mofuccers
mofucckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,mofucckers
mofuck,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe,mofuck
mofucker,motherfucker,,,other / general insult,,,2.0,Strong,mofucker
mofuckkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,mofuckkas
mofuk,motherfucker,,,other / general insult,,,2.2,Strong,mofuk
mofukkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,mofukkas
molester,molest,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,molester
mong,mong,,,racial / ethnic slurs,,,1.8,Strong,mong
mongoloid,mongoloid,,,racial / ethnic slurs,,,2.2,Strong,mongoloid
mongrel,mongrel,,,racial / ethnic slurs,,,2.6,Severe,mongrel
motha fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,motha fucka
motha fucker,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong,motha fucker
motha fuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,motha fucker
mothaf@cked,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,mothafcked
mothafcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,mothafcked
mothafcking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mothafcking
Mothafucc,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mothafucc
mothafucced,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,mothafucced
mothafuccer,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,mothafuccer
mothafuccing,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,mothafuccing
mothafuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mothafuck
mothafucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mothafucka
mothafuckas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,mothafuckas
mothafuckasses,motherfucker,ass,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,mothafuckasses
mothafuckaz,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,mothafuckaz
mothafuckazzes,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,mothafuckazzes
mothafucked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mothafucked
mothafuckeds,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe,mothafuckeds
mothafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,mothafucker
mothafuckers,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,mothafuckers
mothafuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,mothafuckin
mothafucking,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,mothafucking
mothafuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mothafuckings
mothafuckins,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,mothafuckins
mothafucks,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe,mothafucks
mothafuckz,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,mothafuckz
mothafvcked,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe,mothafvcked
mother effer,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong,mother effer
mother fuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mother fuck
mother fuck you,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe,mother fuck
mother fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,mother fucka
mother fucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,mother fucker
mother fuckers,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,mother fucker
mother fucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,mother fucking
mothercker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,mothercker
motherf@kka,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,motherfkka
motherfacking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,motherfacking
motherfcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,motherfcked
motherfckin,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,motherfckin
motherfcking,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe,motherfcking
motherfcks,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,motherfcks
motherfckshit,motherfucker,shit,,sexual anatomy / sexual acts,other / general insult,bodily fluids / excrement,2.8,Severe,motherfckshit
motherfecka,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong,motherfecka
